Feature Set,Model,Fold,Test Start,Test End,AUC
Event Only,Logistic Regression,55,2023-05-09,2023-07-31,0.41470258136924804
Event Only,Random Forest,55,2023-05-09,2023-07-31,0.44668911335578
Event Only,XGBoost,55,2023-05-09,2023-07-31,0.5246913580246914
Event Only,Logistic Regression,56,2023-08-01,2023-10-23,0.5379464285714285
Event Only,Random Forest,56,2023-08-01,2023-10-23,0.4821428571428572
Event Only,XGBoost,56,2023-08-01,2023-10-23,0.5055803571428571
Event Only,Logistic Regression,57,2023-10-24,2024-01-15,0.5567296996662959
Event Only,Random Forest,57,2023-10-24,2024-01-15,0.4065628476084538
Event Only,XGBoost,57,2023-10-24,2024-01-15,0.5467185761957731
Event Only,Logistic Regression,58,2024-01-16,2024-04-08,0.5224466891133557
Event Only,Random Forest,58,2024-01-16,2024-04-08,0.5948372615039281
Event Only,XGBoost,58,2024-01-16,2024-04-08,0.5970819304152637
Event Only,Logistic Regression,59,2024-04-09,2024-07-01,0.6540178571428571
Event Only,Random Forest,59,2024-04-09,2024-07-01,0.5675223214285714
Event Only,XGBoost,59,2024-04-09,2024-07-01,0.5814732142857143
